證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"3094","聯傑","417228","11160161","26.30","27.00","26.30","26.75","0.7500","286"
"3130","一零四","13730","2636303","191.00","192.50","191.00","192.00","1.5000","66"
"3138","耀登","121077","14789264","120.00","123.00","120.00","122.00","3.0000","139"
"3149","正達","250625","4133505","16.60","16.90","16.35","16.50","0.3500","171"
"3164","景岳","220163","5482622","24.80","25.00","24.80","25.00","0.2500","33"
"3167","大量","117142","5847858","48.75","50.50","48.75","50.20","1.6000","100"
"3189","景碩","12647786","1589934032","124.00","127.50","123.50","126.50","5.5000","7176"
"3209","全科","894262","31146723","34.70","35.00","34.60","35.00","0.5000","483"
"3229","晟鈦","217522","5336754","23.20","25.45","23.20","25.45","2.3000","203"
"3231","緯創","12871180","349351410","27.00","27.40","26.75","27.35","0.6500","5478"
"3257","虹冠電","57882","2848110","49.80","49.80","49.00","49.05","0.0000","74"
"3266","昇陽","50000","598300","11.95","12.00","11.90","12.00","0.2500","36"
"3296","勝德","420030","6406930","14.95","15.50","14.90","15.35","0.5500","215"
"3305","昇貿","771122","40735831","51.40","53.40","51.40","53.00","2.0000","503"
"3308","聯德","25000","335700","13.10","13.60","13.00","13.50","0.1500","17"
"3311","閎暉","78589","2585470","33.00","33.25","32.75","33.15","0.3000","84"
"3312","弘憶股","674069","12194316","17.80","18.25","17.80","18.05","0.4000","369"
"3321","同泰","524209","6075080","11.25","11.90","11.25","11.35","0.1000","318"
"3338","泰碩","365158","15469543","41.75","42.90","41.75","42.30","1.2000","313"
"3346","麗清","160174","4925309","30.70","31.15","29.95","30.85","0.4500","127"
"3356","奇偶","732734","20411145","27.40","28.25","27.40","28.20","-0.2000","439"
"3376","新日興","154488","12378936","80.30","80.70","79.70","80.20","0.9000","147"
"3380","明泰","10127616","320442158","31.80","32.00","30.90","31.85","0.0500","5949"
"3383","新世紀","33014","201875","6.12","6.14","6.10","6.14","0.0400","17"
"3406","玉晶光","3878367","1520503855","380.00","398.00","378.00","397.00","23.5000","3743"
"3413","京鼎","167062","32254841","191.50","194.50","191.50","194.00","4.0000","235"
"3416","融程電","62230","4707609","75.60","75.70","75.40","75.70","0.0000","35"
"3419","譁裕","1278453","21638892","16.15","17.20","16.15","17.05","0.9500","794"
"3432","台端","7207579","137845930","18.70","19.40","18.50","19.40","1.7500","2086"
"3437","榮創","78295","1523502","19.10","19.55","19.10","19.50","0.5000","78"
"3443","創意","5986864","3221373995","534.00","549.00","526.00","549.00","29.0000","6517"
"3450","聯鈞","865551","37583750","41.40","44.25","41.35","43.75","2.6500","687"
"3454","晶睿","152763","12334123","80.00","81.20","80.00","80.90","0.9000","117"
"3481","群創","33712872","359734239","10.55","10.75","10.55","10.70","0.2000","6447"
"3494","誠研","7489522","94956230","12.35","13.10","11.90","13.10","1.1500","2585"
"3501","維熹","27300","1174333","42.75","43.40","42.75","43.15","0.3500","28"
"3504","揚明光","21125278","2138559124","102.00","103.50","99.00","100.00","-0.5000","13614"
"3515","華擎","361775","35410891","96.20","99.00","96.00","98.30","3.6000","347"
"3518","柏騰","295008","5607761","19.15","19.35","18.85","19.00","-0.1500","122"
"3528","安馳","5060","249358","49.00","49.50","49.00","49.30","0.3000","8"
"3530","晶相光","272047","24550305","90.00","91.50","89.00","89.00","0.5000","242"
"3532","台勝科","4215176","721017615","166.00","173.50","166.00","173.50","10.0000","3244"
"3533","嘉澤","629810","412586604","644.00","664.00","644.00","654.00","21.0000","740"
"3535","晶彩科","3162096","82871562","25.55","26.65","25.55","26.50","1.2500","1648"
"3536","誠創","69186","262634","3.87","4.11","3.73","3.74","-0.1300","37"
"3543","州巧","24032","458255","19.10","19.20","19.00","19.05","0.3500","23"
"3545","敦泰","3040054","204844126","66.80","67.90","66.60","67.30","0.6000","2482"
"3550","聯穎","91011","1324215","14.40","14.80","14.40","14.80","0.3000","67"
"3557","嘉威","37261","2544665","69.60","69.60","67.70","68.20","-0.3000","43"
"3563","牧德","18538","2573492","138.00","139.50","138.00","139.00","1.0000","45"
"3576","聯合再生","3445715","72786766","20.95","21.20","20.95","21.20","0.2500","1633"
"3583","辛耘","377121","26988471","70.50","72.00","70.50","71.60","1.6000","456"
"3588","通嘉","719997","48830563","66.60","69.00","65.90","67.30","1.7000","555"
"3591","艾笛森","7133487","129875855","17.45","18.70","17.20","18.05","1.0000","3776"
"3592","瑞鼎","571929","146509305","251.00","259.50","251.00","255.50","5.5000","698"
"3593","力銘","31304","428864","13.65","13.80","13.60","13.80","0.0500","41"
"3596","智易","6542194","820316675","126.50","127.50","123.50","125.00","-2.5000","4927"
"3605","宏致","192462","7289110","37.30","38.15","37.30","38.05","0.9500","159"
"3607","谷崧","557306","7163279","12.50","13.25","12.50","12.80","0.4000","303"
"3617","碩天","252990","20279135","79.20","81.40","79.00","80.00","1.2000","216"
"3622","洋華","134078","4127550","31.20","31.20","30.55","30.70","0.1000","102"
"3645","達邁","707311","27341689","38.00","38.95","38.00","38.65","0.7500","527"
